
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
18:64:72:37:D9:30, 2019-03-28 15:47:56, 2019-03-28 15:47:56,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
AC:E2:D3:A8:9C:1D, 2019-03-28 15:47:57, 2019-03-28 15:47:57,  1,  65, WPA2, CCMP, PSK, -93,        0,        0,   0.  0.  0.  0,  27, DIRECT-1C-HP OfficeJet 4650, 
18:64:72:36:A1:C2, 2019-03-28 15:47:56, 2019-03-28 15:48:05,  6, 195, WPA2, CCMP, PSK, -92,        2,        0,   0.  0.  0.  0,  13, Stevens-Media, 
18:64:72:36:A1:C1, 2019-03-28 15:47:56, 2019-03-28 15:48:13,  6, 195, OPN, ,   , -91,        2,        0,   0.  0.  0.  0,  13, Stevens-Guest, 
18:64:72:36:9C:81, 2019-03-28 15:48:06, 2019-03-28 15:48:06,  1, 195, OPN, ,   , -91,        0,        0,   0.  0.  0.  0,  13, Stevens-Guest, 
18:64:72:37:D0:02, 2019-03-28 15:47:49, 2019-03-28 15:48:15,  1, 195, WPA2, CCMP, PSK, -87,        4,        0,   0.  0.  0.  0,  13, Stevens-Media, 
18:64:72:37:D0:00, 2019-03-28 15:47:57, 2019-03-28 15:48:15,  1, 195, WPA2, CCMP, MGT, -87,        4,        0,   0.  0.  0.  0,   7, Stevens, 
18:64:72:36:99:81, 2019-03-28 15:47:56, 2019-03-28 15:48:14, 11, 195, OPN, ,   , -87,        7,        0,   0.  0.  0.  0,  13, Stevens-Guest, 
18:64:72:36:9C:82, 2019-03-28 15:47:57, 2019-03-28 15:48:15,  1, 195, WPA2, CCMP, PSK, -86,        2,        0,   0.  0.  0.  0,  13, Stevens-Media, 
18:64:72:37:D0:01, 2019-03-28 15:47:49, 2019-03-28 15:48:17,  1, 195, OPN, ,   , -86,        9,        0,   0.  0.  0.  0,  13, Stevens-Guest, 
18:64:72:36:A1:C0, 2019-03-28 15:47:56, 2019-03-28 15:48:13,  6, 195, WPA2, CCMP, MGT, -86,        3,        6,   0.  0.  0.  0,   7, Stevens, 
F0:5C:19:B6:46:80, 2019-03-28 15:47:49, 2019-03-28 15:48:13,  6, 195, OPN, ,   , -86,        7,        0,   0.  0.  0.  0,  13, Stevens-Guest, 
F0:5C:19:B6:46:82, 2019-03-28 15:47:56, 2019-03-28 15:48:13,  6, 195, WPA2, CCMP, PSK, -86,        3,        0,   0.  0.  0.  0,  13, Stevens-Media, 
18:64:72:37:D9:20, 2019-03-28 15:48:04, 2019-03-28 15:48:13, 11, 195, WPA2, CCMP, MGT, -85,        4,        0,   0.  0.  0.  0,   7, Stevens, 
18:64:72:36:99:82, 2019-03-28 15:47:56, 2019-03-28 15:48:13, 11, 195, WPA2, CCMP, PSK, -84,        4,        0,   0.  0.  0.  0,  13, Stevens-Media, 
00:1A:70:F8:8D:03, 2019-03-28 15:47:56, 2019-03-28 15:48:13,  6,  54, OPN, ,   , -84,        4,        0,   0.  0.  0.  0,   7, camp147, 
F0:5C:19:B6:46:81, 2019-03-28 15:47:56, 2019-03-28 15:48:13,  6, 195, WPA2, CCMP, MGT, -83,        3,       28,   0.  0.  0.  0,   7, Stevens, 
